Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Elected/Nominated,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
2527,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP147/2025-2026/213135,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),Shri Pramod Tiwari (2022-28) (2022-2028),Elected MP,,MAA SWANGIYA CONSTRUCTION COMPANY,Payment Success,345563
2528,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18295/2025-2026/218294,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),Smt. Sonia Gandhi (2024-30) (2024-2030),Elected MP,,MAA SWANGIYA CONSTRUCTION COMPANY,Payment Success,746119
2529,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18295/2025-2026/218294,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),Smt. Sonia Gandhi (2024-30) (2024-2030),Elected MP,,MAA SWANGIYA CONSTRUCTION COMPANY,Payment Success,253881
2530,Punjab,Street lights,WS/MP235/2025-2026/268736,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Shubham Electricals,Payment Success,336840
2531,Punjab,Street lights,WS/MP235/2025-2026/268736,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Shubham Electricals,Payment Success,44110
2532,Punjab,Lighting of public spaces,WS/MP235/2025-2026/263612,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,,Shubham Electricals,Payment Success,168420
2533,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18407/2025-2026/238161,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),Shri Manan Kumar Mishra (2024-28) (2024-2028),Elected MP,,ROHIT KUMAR MISHRA,Payment Success,1451315
2534,Maharashtra,Construction of community centers and community halls,WS/MP18294/2026-2027/221017,RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA),Shri Praful Patel (2024-30) (2024-2030),Elected MP,,Madhura Chandrahas Mhatre,Payment Success,500000
2535,Maharashtra,Construction of community centers and community halls,WS/MP18294/2026-2027/221022,RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA),Shri Praful Patel (2024-30) (2024-2030),Elected MP,,Madhura Chandrahas Mhatre,Payment Success,500000
2536,Maharashtra,Construction of community centers and community halls,WS/MP18294/2025-2026/221027,RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA),Shri Praful Patel (2024-30) (2024-2030),Elected MP,,Madhura Chandrahas Mhatre,Payment Success,500000
