Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Elected/Nominated,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date
95,Normal/Others,WS/MP187/2023-2024/1530-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
96,Normal/Others,WS/MP187/2023-2024/1531-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
97,Normal/Others,WS/MP187/2023-2024/1532-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
98,Normal/Others,WS/MP187/2023-2024/1533-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
99,Normal/Others,WS/MP187/2023-2024/1534-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
100,Normal/Others,WS/MP187/2023-2024/1535-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
101,Normal/Others,WS/MP187/2023-2024/1536-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
102,Normal/Others,WS/MP187/2023-2024/1537-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
103,Normal/Others,WS/MP187/2023-2024/1538-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
104,Normal/Others,WS/MP187/2023-2024/1539-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
105,Normal/Others,WS/MP187/2023-2024/1540-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
106,Normal/Others,WS/MP187/2023-2024/1541-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
107,Normal/Others,WS/MP187/2023-2024/1542-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
108,Normal/Others,WS/MP106/2023-2024/1543-Construction of shelters for animals,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Dayoday Pashu Seva samiti Registration no. 04/16/04/07937/04 Gadarwara, District Narsinghpur main Damru Ghati ke pas sthit Goushala main Shade nirman ke liye.",2023-06-23,300000,2024-02-26
109,Normal/Others,WS/MP187/2023-2024/1544-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
110,Normal/Others,WS/MP187/2023-2024/1545-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
111,Normal/Others,WS/MP187/2023-2024/1546-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
112,Normal/Others,WS/MP187/2023-2024/1547-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
113,Normal/Others,WS/MP187/2023-2024/1548-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
114,Normal/Others,WS/MP187/2023-2024/1549-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
115,Normal/Others,WS/MP187/2023-2024/1550-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
116,Normal/Others,WS/MP187/2023-2024/1551-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
117,Normal/Others,WS/MP187/2023-2024/1552-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
118,Normal/Others,WS/MP187/2023-2024/1553-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
119,Normal/Others,WS/MP187/2023-2024/1554-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
120,Normal/Others,WS/MP187/2023-2024/1555-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
121,Normal/Others,WS/MP187/2023-2024/1556-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
122,Normal/Others,WS/MP187/2023-2024/1557-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
123,Normal/Others,WS/MP187/2023-2024/1558-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
124,Normal/Others,WS/MP187/2023-2024/1559-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
125,Normal/Others,WS/MP187/2023-2024/1560-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
126,Normal/Others,WS/MP187/2023-2024/1561-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
127,Normal/Others,WS/MP187/2023-2024/1562-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
128,Normal/Others,WS/MP187/2023-2024/1563-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000,2023-07-07
129,Normal/Others,WS/MP187/2023-2024/1566-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
130,Normal/Others,WS/MP187/2023-2024/1567-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
131,Normal/Others,WS/MP187/2023-2024/1568-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
132,Normal/Others,WS/MP187/2023-2024/1569-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
133,Normal/Others,WS/MP187/2023-2024/1570-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
134,Normal/Others,WS/MP187/2023-2024/1571-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
135,Normal/Others,WS/MP187/2023-2024/1572-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
136,Normal/Others,WS/MP187/2023-2024/1573-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),2023-06-23,283000,2023-07-07
137,Normal/Others,WS/MP106/2023-2024/1593-Construction of rooms and halls in school and colleges,Madhya Pradesh,MORENA(DISTRICT COLLECTOR MORENA_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Saray Chhola Gram Panchayat Husainpur, District Morena ke Sumavali Vidhan sabha sthit Kisan Uchchtar Madhyamik Vidyalaya main atirikt Adhayyan Kaksh nirman hetu, District Morena",2023-06-24,500000,2024-02-20
138,Normal/Others,NA-Purchase of books for public libraries/ digitization of library books,Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Civil Court Mauganj Rewa main library hetu Books ki kharid, Vidhan Sabha Mauganj, District Rewa (mention in letter no.2975 at Column no.1)",2023-06-24,50000,NA
139,Normal/Others,NA-Installing community drinking water plants,Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"2 nag Voltas Drinking water Cooler Model no. WC FS 60/120, for Civil Court Mauganj hetu, Vidhan sabha Mauganj, District Rewa (metion in letter no.2975 at Column no.2)",2023-06-24,93176,NA
140,Normal/Others,"NA-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Construction and Shade repair, Adhivakta Sangh Civil Court Muaganj, Vidhan Sabha Mauganj Rewa, District Rewa (mention in letter no. 2975 at column no.3)",2023-06-24,100000,NA
141,Normal/Others,WS/MP106/2023-2024/1599-Construction of community centers and community halls,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram panchayat Pipariya (Mushran), Vikaskhand Gotegaon ke gram Pipariya (Mushran) main Samudayik bhavan nirman, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976 at column no. 1)",2023-06-24,700000,2024-02-26
142,Normal/Others,WS/MP106/2023-2024/1600-Construction of community centers and community halls,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram panchayat Pipariya (Mushran), Vikaskhand Gotegaon ke Govt. Madhyamik shala Parisar Pipariya (Mushran) main Teen Shade nirman Kary, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976 at column no. 2)",2023-06-24,640000,2024-02-26
143,Normal/Others,WS/MP106/2023-2024/1601-Construction of community centers and community halls,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram panchayat Jhot, Vikaskhand Gotegaon ke Paramhanshi Ganga Ashram Jhoteshwar main Teen Shade nirman Kary, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976/23 at column no. 3)",2023-06-24,700000,2024-02-20
144,Normal/Others,WS/MP106/2023-2024/1604-Providing drains and gutters for public drainage,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram evam Gram Panchayat Bheslai, Janpad Panchayat Nisarpur ke antargat Sitaram Alava ke Khet se Nansingh Alava ke khet tak Nikalne wale nale main retaining wall, Saundrykaran evam anay kary hetu, vidhan sabha 198-Kukshi, District Dhar",2023-06-24,499555,2024-01-08
145,Normal/Others,WS/MP106/2024-2025/1624-Construction of buildings for community cultural activities,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram panchayat Sagda Jhapani, Janpad Panchayt Jabalpur ke Khermai Mandir ke pas Rangmanch nirman kary, Vidhan Sabha Bargi, District Jabalpur (letter no. 2997 at column no.1)",2023-06-25,300000,2024-11-21
146,Normal/Others,WS/MP106/2024-2025/1625-Construction of community centers and community halls,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram panchayat Saliwada Devdwar, Janpad Pachayat Jabalpur ke Saliwada Devdwar main Samudayik Bhavan nirman kary, vidhansabah Bargi, District Jabalpur (letter no. 2997 at Column no.2)",2023-06-25,400000,2024-07-02
147,Normal/Others,WS/MP106/2024-2025/1626-Construction of buildings for community cultural activities,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram panchayat Bargi, Janpad Panchayt Jabalpur ke Bargi main Rangmanch nirman kary, Vidhan Sabha Bargi, District Jabalpur (letter no. 2997 at column no.3)",2023-06-25,300000,2024-09-04
148,Normal/Others,WS/MP106/2023-2024/1627-Construction of boundary walls of existing public and community buildings,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Pt. Deendyal Upadhyay ward ke antargat Krishnam Society Udyan me Paver Block evam Boundryball banane ka kary, Vidhansabha Uttar-Madhya, District Jabalpur",2023-06-25,752998,2023-10-05
149,Normal/Others,WS/MP106/2025-2026/1628-Construction of community centers and community halls,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Radhakrishnan ward me Chopda Kuan ke pas Samudayik Bhavan nirman kary, Vidhan sabha poorv, District Jabalpur (letter no. 2999/23 at column no.1)",2023-06-25,500000,2026-01-30
150,Normal/Others,"WS/MP106/2023-2024/1631-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Manegaon, Janpad Panchayat Gotegaon ke gram Manegaon main Samudayik Bhavan Parisar & School Parisar main Paver Block Lagane hetu, Vidhansabha Gotegaon, District Narsinghpur",2023-06-25,300000,2023-12-07
151,Normal/Others,WS/MP106/2025-2026/1632-Installing tube-wells and borewells,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"1 nag Nalkup Khanan, Naya ward no. 76, Pariyat Jabalpur, Vidhan Sabha Panagar, District Jabalpur",2023-06-25,123000,2026-01-29
152,Normal/Others,"WS/MP106/2023-2024/1633-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Gunj Khamariya, Janpad Panchayat Patan ke gram Gunj Khamariya me Jitendra Patel ke ghar se Shubham Patel ke ghar tak C C road construction, vidhansabha patan, District Jabalpur",2023-06-25,198000,2023-10-05
153,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,BHIND(DISTRICT COLLECTOR BHIND_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Banipur Road se Ramswaroop ke khet ke pas Khanba ki aor DevSingh ka Pura tak CC Road Nirman Kary, Bhind (Mention in letter no. 3066 at column no.1)",2023-06-25,250000,NA
154,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,BHIND(DISTRICT COLLECTOR BHIND_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Jagdish ke khet se Yogendra ki baithak ki aur Dev singh ka pura me CC road Nirman, Vidhasabha 13-Gohad, District Bhind (letter no. 3066/23, Column no. 2)",2023-06-25,250000,NA
155,Normal/Others,WS/MP106/2023-2024/1636-Installing tube-wells and borewells,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Installation of tubewell including 1000 leter of water tank with 2HP pump at gram panchayat kakarhata, janpad panchayat patan at Nahandevi colony vidhansabha Patan, District jabalpur",2023-06-25,152914,2023-10-05
156,Normal/Others,WS/MP106/2023-2024/1637-Construction of community centers and community halls,Madhya Pradesh,BETUL(DISTRICT COLLECTOR BETUL_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Construction of community hall at gram Eklahara, gram Panchayat Hirdi, Block Prabhat Pattan, Tehsil Multai near Hanuman Mandir, Vidhansabha 129-Multai, District Betul M.P.",2023-06-26,1000000,2023-12-31
157,Normal/Others,NA-Purchase of books for public libraries/ digitization of library books,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Purchase books for library of Adhivakta Sangh Majhauli, Vidhansabha 82-Dhoohni, District Sidhi M.P.",2023-06-26,50000,NA
158,Normal/Others,"WS/MP106/2023-2024/1639-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gulab Singh ward me Sahkar Nagar Bus Stop ke pas MPEB main Cementy Karan kary, Vidhan Sabha Pashchim, District Jabalpur (mention in Letter no. 3126 at column no.1)",2023-06-26,53000,2023-10-05
159,Normal/Others,WS/MP106/2023-2024/1640-Construction of buildings for community cultural activities,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Aasre Saini ke makan ke pas Dada Babu Rao Parnajpe ward main Sarvjanik Rangmanch Nirman kary, Vidhan Sabha Pashchim, District Jabalpur (mention in letter no.3126 at column no.2)",2023-06-26,203000,2023-10-05
160,Normal/Others,WS/MP106/2023-2024/1641-Construction of buildings for community cultural activities,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Ram Choudhary ke makan ke pas Dada Babu Rao Parnajpe ward main Sarvjanik Rangmanch Nirman kary, Vidhan Sabha Pashchim, District Jabalpur (mention in letter no.3126 at column no.3)",2023-06-26,172000,2023-10-05
161,Normal/Others,"WS/MP106/2023-2024/1642-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Dr Vivek Gupta ke makan se Bhatija ke makan tak evam Sharma ji ke Makan se Taneja ji ke makan tak evam Mahroliya ji ke makan ke samne Damlikaran kary, Gwarighat ward, Vidhan Sabha Pashchim, District Jabalpur (mention in letter no.3126 at column no.4)",2023-06-26,144000,2023-10-05
162,Normal/Others,"WS/MP106/2023-2024/1643-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Pramendra Singh Thakur ke makan se Tiwari ji ke makan tak evam Singrol ji ke makan se Chaturvedi ji ke makan tak, Damlikaran kary, Gwarighat ward, Vidhan Sabha Pashchim, District Jabalpur (mention in letter no.3126 at column no.5)",2023-06-26,140000,2023-10-05
163,Normal/Others,"WS/MP106/2023-2024/1644-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Main Road se Pachori ji ke makan tak Damlikaran kary, Gwarighat ward, Vidhan Sabha Pashchim, District Jabalpur (mention in letter no.3126 at column no.6)",2023-06-26,218000,2023-10-05
164,Normal/Others,"WS/MP106/2023-2024/1645-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Choudhary ji ke makan se Pandey ji ke makan tak Pevar block lagane ka kary, Dada Babu rao Paranjpe ward, Vidhan Sabha Pashchim, District Jabalpur (mention in letter no.3126 at column no.8)",2023-06-26,235000,2023-10-05
