"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"328","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226046","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","26-Mar-2026","Subansiri Traders Ziro","Payment In-Progress","250000"
"329","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226046","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","26-Mar-2026","Subansiri Traders Ziro","Payment In-Progress","250000"
"330","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP433/2025-2026/230763","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","02-Jul-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","300000"
"331","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP433/2025-2026/230604","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","17-Jul-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","250000"
"332","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP433/2026-2027/230802","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","19-Jun-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","299221"
"333","Jharkhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP433/2025-2026/194735","GIRIDIH(Deputy Commissioner Giridh_IDA)","Annpurna Devi","KODARMA","17-Jul-2026","EXECUTIVE ENGINER NREP GIRIDIH","Payment In-Progress","300000"
"334","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18055/2026-2027/275237","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","21-Aug-2026","DHUNADARA  gram panchayat","Payment In-Progress","399439"
"335","Gujarat","Construction of footpaths and pedestrian ways","WS/MP18055/2026-2027/275228","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","21-Aug-2026","JESAPURA  gram panchayat","Payment In-Progress","99210"
"336","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18055/2026-2027/275222","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","21-Aug-2026","KHIJALPUR VANTA   gram panchayat","Payment In-Progress","299536"
"337","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18055/2026-2027/275238","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","21-Aug-2026","PORDA  gram panchayat","Payment In-Progress","197883"
"338","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP380/2025-2026/192934","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","26-Aug-2026","TARA SINGH BKO","Payment In-Progress","22854"
"339","Gujarat","Installing tube-wells and borewells","WS/MP18055/2026-2027/275224","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","21-Aug-2026","KOTARIYA  gram panchayat","Payment In-Progress","149494"
"340","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235851","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","21-Aug-2026","GOVIND DAS ARYA","Payment In-Progress","124876"
"341","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235850","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","21-Aug-2026","GOVIND DAS ARYA","Payment In-Progress","124740"
"342","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP435/2025-2026/228481","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","30-May-2026","AMIT KUMAR","Payment In-Progress","56850"
"343","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228334","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","30-May-2026","AMIT KUMAR","Payment In-Progress","140325"
"344","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228337","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","27-Aug-2026","AMIT KUMAR","Payment In-Progress","93000"
"345","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP435/2025-2026/228359","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","28-Aug-2026","AMIT KUMAR","Payment In-Progress","123350"
"346","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP435/2025-2026/228362","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Sanjay Seth","RANCHI","28-Aug-2026","AMIT KUMAR","Payment In-Progress","115900"
